,INCIDENT_KEY,OCCUR_DATE,BORO,PRECINCT,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,Latitude,Longitude,YEAR,MONTH,DAY,HOUR
0,228798151,2021-05-27,QUEENS,105,18-24,M,BLACK,40.662964620000025,-73.73083868899994,2021,5,3,21
1,137471050,2014-06-27,BRONX,40,18-24,M,BLACK,40.81035186300005,-73.92494232599995,2014,6,4,17
2,147998800,2015-11-21,QUEENS,108,25-44,M,WHITE,40.74260663300004,-73.91549174199997,2015,11,5,3
3,146837977,2015-10-09,BRONX,44,<18,M,WHITE HISPANIC,40.83778200300002,-73.91945661499993,2015,10,4,18
4,58921844,2009-02-19,BRONX,47,45-64,M,BLACK,40.88623791800006,-73.85290950899997,2009,2,3,22
5,219559682,2020-10-21,BROOKLYN,81,25-44,M,BLACK,40.678456718000064,-73.92795224099996,2020,10,2,21
6,85295722,2012-06-17,QUEENS,114,25-44,M,BLACK,40.75648234300007,-73.94726649399996,2012,6,6,22
7,71662474,2010-03-08,BROOKLYN,81,18-24,M,BLACK,40.69426405600007,-73.93280863699994,2010,3,0,19
8,83002139,2012-02-05,QUEENS,105,25-44,M,BLACK,40.706106731000034,-73.74710653899997,2012,2,6,5
9,86437261,2012-08-26,QUEENS,101,25-44,M,BLACK,40.59769719800005,-73.74906464199995,2012,8,6,1
10,74998200,2010-10-10,MANHATTAN,23,25-44,M,BLACK,40.79772626500005,-73.94650650799997,2010,10,6,3
11,74363835,2010-08-29,BROOKLYN,75,25-44,M,BLACK,40.66060839100004,-73.89588694299994,2010,8,6,1
12,234756217,2021-10-09,BROOKLYN,71,25-44,M,BLACK,40.66502269100005,-73.95711436799998,2021,10,5,20
13,78961869,2011-05-25,BRONX,50,18-24,M,WHITE,40.88449492200005,-73.90559937499995,2011,5,2,21
14,53891791,2008-11-09,BROOKLYN,78,25-44,M,BLACK HISPANIC,40.682565055000055,-73.98504421199993,2008,11,6,20
15,32914993,2007-07-05,BRONX,47,18-24,M,BLACK,40.88412413300006,-73.84896796399995,2007,7,3,1
16,73879554,2010-07-27,MANHATTAN,30,25-44,M,BLACK,40.82630793100003,-73.94320965699995,2010,7,1,2
17,87694905,2012-11-14,BROOKLYN,81,25-44,M,BLACK,40.678204504000064,-73.92318836699997,2012,11,2,21
18,230311079,2021-07-01,BROOKLYN,73,25-44,M,BLACK,40.66947322100003,-73.90780500799997,2021,7,3,2
19,225297069,2021-03-07,BROOKLYN,71,25-44,M,WHITE,40.65735150300002,-73.95840237599998,2021,3,6,21
20,140791304,2015-02-01,MANHATTAN,30,18-24,F,BLACK,40.82048710500004,-73.95494146299995,2015,2,6,23
21,140340393,2014-12-28,BROOKLYN,84,18-24,M,BLACK,40.695368090000045,-73.98324184599994,2014,12,6,19
22,215767018,2020-07-24,BROOKLYN,78,25-44,M,BLACK,40.67790089700002,-73.98428342199996,2020,7,4,1
23,10619080,2006-03-03,BROOKLYN,90,45-64,M,WHITE,40.70103042700004,-73.94221368099994,2006,3,4,11
24,34979907,2007-10-11,BRONX,47,25-44,M,BLACK,40.88745131300004,-73.84760778699997,2007,10,3,20
25,165264362,2017-05-27,QUEENS,105,18-24,M,BLACK,40.69855836100004,-73.73531117,2017,5,5,12
26,64110714,2009-07-26,BROOKLYN,60,18-24,M,BLACK,40.57283863500004,-73.99543401199996,2009,7,6,3
27,78644238,2011-05-09,BRONX,48,25-44,M,WHITE HISPANIC,40.846154729000034,-73.89924955699996,2011,5,0,18
28,151624171,2016-03-28,BRONX,47,45-64,M,BLACK,40.89018055400004,-73.85747035499996,2016,3,0,19
29,89514645,2013-03-06,QUEENS,106,25-44,M,BLACK HISPANIC,40.65608318200003,-73.85375484999997,2013,3,2,4
30,10187514,2006-01-21,MANHATTAN,28,18-24,M,BLACK,40.80726425900008,-73.95610949899998,2006,1,5,21
31,84704352,2012-05-13,BROOKLYN,75,18-24,M,BLACK,40.66051939800008,-73.88345375099993,2012,5,6,12
32,34864269,2007-10-06,BROOKLYN,79,45-64,M,BLACK,40.688872153000034,-73.94452903199993,2007,10,5,18
33,11118846,2006-04-14,BROOKLYN,78,25-44,M,BLACK,40.68352050900006,-73.97706331299997,2006,4,4,19
34,174579538,2018-02-08,STATEN ISLAND,120,45-64,M,BLACK,40.64075466000003,-74.07674821299997,2018,2,3,20
35,94046068,2013-12-15,BROOKLYN,75,25-44,M,BLACK,40.66386011200007,-73.86761265899997,2013,12,6,17
36,80165538,2011-08-06,BROOKLYN,90,45-64,M,ASIAN / PACIFIC ISLANDER,40.70006384300007,-73.94769159999998,2011,8,5,8
37,86437257,2012-08-25,BROOKLYN,73,18-24,M,BLACK,40.66276879000003,-73.90753042499993,2012,8,5,6
38,33635440,2007-08-07,BROOKLYN,75,25-44,M,BLACK,40.67569846300006,-73.88781490799995,2007,8,1,21
39,235757726,2021-10-31,BROOKLYN,79,18-24,M,BLACK,40.69472815800003,-73.94182674699994,2021,10,6,14
40,233762539,2021-09-18,MANHATTAN,23,25-44,M,WHITE HISPANIC,40.79100658600004,-73.94930485999998,2021,9,5,19
