Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2022-01-01,12:00 AM,57 °F,52 °F,82 %,E,8 mph,0 mph,28.00 in,0.0 in,Fog
2022-01-01,1:00 AM,55 °F,52 °F,88 %,ESE,6 mph,0 mph,28.00 in,0.0 in,Fog
2022-01-01,2:00 AM,55 °F,52 °F,88 %,ESE,6 mph,0 mph,28.00 in,0.0 in,Fog
2022-01-01,3:00 AM,55 °F,54 °F,94 %,ESE,6 mph,0 mph,27.97 in,0.0 in,Fog
2022-01-01,3:21 AM,57 °F,54 °F,88 %,ESE,6 mph,0 mph,28.00 in,0.0 in,Thunder
2022-01-01,4:00 AM,55 °F,54 °F,94 %,SE,6 mph,0 mph,27.97 in,0.0 in,T-Storm
2022-01-01,5:00 AM,55 °F,54 °F,94 %,ESE,6 mph,0 mph,27.97 in,0.0 in,Fog
2022-01-01,6:00 AM,55 °F,54 °F,94 %,ESE,6 mph,0 mph,28.00 in,0.0 in,Fog
2022-01-01,7:00 AM,55 °F,54 °F,94 %,ESE,3 mph,0 mph,28.00 in,0.0 in,Fog
2022-01-01,8:00 AM,55 °F,54 °F,94 %,ESE,5 mph,0 mph,28.02 in,0.0 in,Fog
2022-01-01,9:00 AM,55 °F,54 °F,94 %,SE,5 mph,0 mph,28.02 in,0.0 in,Fog
2022-01-01,10:00 AM,57 °F,54 °F,88 %,SE,5 mph,0 mph,28.02 in,0.0 in,Fog
2022-01-01,11:00 AM,57 °F,55 °F,94 %,SE,3 mph,0 mph,28.00 in,0.0 in,Fog
2022-01-01,12:00 PM,57 °F,55 °F,94 %,ESE,7 mph,0 mph,27.97 in,0.0 in,Fog
2022-01-01,1:00 PM,59 °F,55 °F,88 %,ESE,8 mph,0 mph,27.91 in,0.0 in,Fog
2022-01-01,2:00 PM,59 °F,55 °F,88 %,E,9 mph,0 mph,27.91 in,0.0 in,Fog
2022-01-01,3:00 PM,59 °F,57 °F,94 %,SE,7 mph,0 mph,27.91 in,0.0 in,Fog
2022-01-01,4:00 PM,59 °F,57 °F,94 %,ESE,7 mph,0 mph,27.91 in,0.0 in,Fog
2022-01-01,4:01 PM,59 °F,57 °F,94 %,ESE,7 mph,0 mph,27.91 in,0.0 in,Rain
2022-01-01,5:00 PM,59 °F,57 °F,94 %,ESE,12 mph,0 mph,27.89 in,0.0 in,Fog
2022-01-01,6:00 PM,59 °F,57 °F,94 %,ESE,8 mph,0 mph,27.89 in,0.0 in,Drizzle
2022-01-01,7:00 PM,59 °F,57 °F,94 %,SE,7 mph,0 mph,27.89 in,0.0 in,Fog
2022-01-01,7:28 PM,59 °F,57 °F,94 %,ESE,6 mph,0 mph,27.89 in,0.0 in,Rain
2022-01-01,7:37 PM,59 °F,57 °F,94 %,SE,5 mph,0 mph,27.89 in,0.0 in,Thunder
2022-01-01,8:00 PM,59 °F,57 °F,94 %,ESE,7 mph,0 mph,27.89 in,0.0 in,Thunder in the Vicinity
2022-01-01,9:00 PM,61 °F,59 °F,94 %,SE,6 mph,0 mph,27.89 in,0.0 in,Thunder
2022-01-01,9:04 PM,61 °F,59 °F,94 %,S,9 mph,0 mph,27.94 in,0.0 in,T-Storm
2022-01-01,10:00 PM,61 °F,59 °F,94 %,SSE,7 mph,0 mph,27.89 in,0.0 in,T-Storm
2022-01-01,11:00 PM,61 °F,59 °F,94 %,SE,8 mph,0 mph,27.83 in,0.0 in,Fog
2022-01-01,11:36 PM,61 °F,59 °F,94 %,SE,7 mph,0 mph,27.83 in,0.0 in,Fog
2022-01-02,12:00 AM,61 °F,59 °F,94 %,SE,8 mph,0 mph,27.83 in,0.0 in,Fog
2022-01-02,1:00 AM,61 °F,59 °F,94 %,SSE,6 mph,0 mph,27.86 in,0.0 in,T-Storm
2022-01-02,2:00 AM,61 °F,59 °F,94 %,SSE,3 mph,0 mph,27.86 in,0.0 in,Fog
2022-01-02,3:00 AM,61 °F,59 °F,94 %,SSE,3 mph,0 mph,27.83 in,0.0 in,Fog
2022-01-02,4:00 AM,63 °F,61 °F,94 %,SSE,3 mph,0 mph,27.81 in,0.0 in,Fog
2022-01-02,4:27 AM,63 °F,61 °F,94 %,SE,5 mph,0 mph,27.81 in,0.0 in,Fog
2022-01-02,5:00 AM,63 °F,61 °F,94 %,SE,3 mph,0 mph,27.81 in,0.0 in,Fog
2022-01-02,6:00 AM,61 °F,59 °F,94 %,SE,3 mph,0 mph,27.78 in,0.0 in,Fog
2022-01-02,7:00 AM,61 °F,59 °F,94 %,SSE,5 mph,0 mph,27.81 in,0.0 in,Fog
2022-01-02,7:15 AM,61 °F,61 °F,100 %,SSE,6 mph,0 mph,27.78 in,0.0 in,Fog
2022-01-02,8:00 AM,63 °F,59 °F,88 %,SSE,8 mph,0 mph,27.78 in,0.0 in,Fog
2022-01-02,8:16 AM,63 °F,59 °F,88 %,S,8 mph,0 mph,27.81 in,0.0 in,Mostly Cloudy
2022-01-02,9:00 AM,64 °F,61 °F,88 %,S,8 mph,0 mph,27.81 in,0.0 in,Mostly Cloudy
2022-01-02,10:00 AM,66 °F,61 °F,83 %,S,6 mph,0 mph,27.81 in,0.0 in,Thunder
2022-01-02,11:00 AM,68 °F,61 °F,78 %,W,6 mph,0 mph,27.78 in,0.0 in,Mostly Cloudy
2022-01-02,12:00 PM,73 °F,61 °F,65 %,W,8 mph,0 mph,27.75 in,0.0 in,Mostly Cloudy
2022-01-02,1:00 PM,73 °F,61 °F,65 %,W,10 mph,0 mph,27.72 in,0.0 in,Partly Cloudy
2022-01-02,2:00 PM,73 °F,59 °F,61 %,WSW,8 mph,0 mph,27.70 in,0.0 in,Mostly Cloudy
2022-01-02,2:11 PM,73 °F,59 °F,61 %,WSW,9 mph,0 mph,27.70 in,0.0 in,Thunder
2022-01-02,2:35 PM,64 °F,59 °F,83 %,WNW,17 mph,29 mph,27.72 in,0.0 in,Rain
2022-01-02,3:00 PM,64 °F,61 °F,88 %,W,7 mph,0 mph,27.72 in,0.0 in,Mostly Cloudy
2022-01-02,4:00 PM,70 °F,59 °F,68 %,W,6 mph,0 mph,27.70 in,0.0 in,Partly Cloudy
2022-01-02,5:00 PM,70 °F,57 °F,64 %,W,6 mph,0 mph,27.72 in,0.0 in,Partly Cloudy
2022-01-02,6:00 PM,68 °F,59 °F,73 %,W,6 mph,0 mph,27.75 in,0.0 in,Partly Cloudy
2022-01-02,7:00 PM,66 °F,57 °F,73 %,W,6 mph,0 mph,27.78 in,0.0 in,Fair
2022-01-02,8:00 PM,64 °F,57 °F,77 %,W,6 mph,0 mph,27.81 in,0.0 in,Fair
2022-01-02,9:00 PM,63 °F,57 °F,82 %,WNW,3 mph,0 mph,27.81 in,0.0 in,Fair
2022-01-02,10:00 PM,61 °F,55 °F,82 %,WNW,5 mph,0 mph,27.81 in,0.0 in,Fair
2022-01-02,11:00 PM,59 °F,54 °F,82 %,WNW,6 mph,0 mph,27.81 in,0.0 in,Fair
2022-01-03,12:00 AM,59 °F,52 °F,77 %,NW,6 mph,0 mph,27.81 in,0.0 in,Fair
2022-01-03,1:00 AM,57 °F,50 °F,77 %,NW,8 mph,0 mph,27.81 in,0.0 in,Fair
2022-01-03,2:00 AM,55 °F,50 °F,82 %,NW,10 mph,0 mph,27.81 in,0.0 in,Fair
2022-01-03,3:00 AM,55 °F,50 °F,82 %,W,6 mph,0 mph,27.81 in,0.0 in,Fair
2022-01-03,4:00 AM,54 °F,48 °F,82 %,WNW,8 mph,0 mph,27.83 in,0.0 in,Fair
2022-01-03,5:00 AM,52 °F,46 °F,82 %,WNW,7 mph,0 mph,27.83 in,0.0 in,Fair
2022-01-03,6:00 AM,52 °F,46 °F,82 %,WNW,6 mph,0 mph,27.86 in,0.0 in,Fair
2022-01-03,7:00 AM,50 °F,46 °F,87 %,NW,8 mph,0 mph,27.89 in,0.0 in,Fair
2022-01-03,8:00 AM,50 °F,46 °F,87 %,N,13 mph,0 mph,27.91 in,0.0 in,Mostly Cloudy
2022-01-03,9:00 AM,50 °F,46 °F,87 %,NNW,12 mph,0 mph,27.94 in,0.0 in,Mostly Cloudy
2022-01-03,10:00 AM,52 °F,48 °F,88 %,NNW,9 mph,0 mph,27.94 in,0.0 in,Mostly Cloudy
2022-01-03,11:00 AM,55 °F,48 °F,77 %,NNW,14 mph,0 mph,27.91 in,0.0 in,Mostly Cloudy
2022-01-03,12:00 PM,57 °F,48 °F,72 %,NW,14 mph,0 mph,27.89 in,0.0 in,Partly Cloudy
2022-01-03,1:00 PM,61 °F,48 °F,63 %,NNW,12 mph,0 mph,27.89 in,0.0 in,Partly Cloudy
2022-01-03,2:00 PM,61 °F,50 °F,68 %,NNW,12 mph,0 mph,27.86 in,0.0 in,Partly Cloudy
2022-01-03,3:00 PM,61 °F,48 °F,63 %,NW,10 mph,0 mph,27.86 in,0.0 in,Fair
2022-01-03,4:00 PM,61 °F,48 °F,63 %,NNW,10 mph,0 mph,27.89 in,0.0 in,Fair
2022-01-03,5:00 PM,61 °F,46 °F,59 %,NNW,12 mph,0 mph,27.89 in,0.0 in,Fair
2022-01-03,6:00 PM,57 °F,46 °F,67 %,NNW,8 mph,0 mph,27.91 in,0.0 in,Fair
